"region_a","region_b","weight","total_streams_a"
"fi","br",109,292593197
"ro","id",595,66480910
"nz","be",3141,238911758
"th","au",315,373758083
"th","se",189,373758083
"pt","hn",540,196362474
"gt","ec",5294,211651568
"lv","hu",3823,26516393
"pa","global",960,103847109
"lu","cr",28,1665635
"ro","lt",3731,66480910
"gr","fi",1004,160374254
"lt","hk",1265,36780208
"th","de",174,373758083
"tr","hu",390,1249971688
"ec","ar",3567,258948980
"se","ro",1824,944441421
"ph","gt",72,1335593544
"hu","es",86,106950270
"lt","is",2681,36780208
"tw","mx",213,235686855
"th","lu",22,373758083
"hk","bg",1103,110866207
"is","hk",1041,36469203
"hn","fr",336,80897137
"py","pt",321,286041437
"uy","bg",89,121078533
"hu","dk",2423,106950270
"pa","br",42,103847109
"pe","hn",4346,709049813
"jp","global",279,1288700883
"uy","sk",90,121078533
"pt","fr",1300,196362474
"vn","ch",388,183269158
"il","cr",325,114722000
"lv","fi",2448,26516393
"za","cl",58,82232947
"id","de",331,1522282447
"gb","cl",58,2239079359
"ca","br",185,1244580639
"hk","es",68,110866207
"uy","es",3091,121078533
"pe","fr",307,709049813
"za","nl",2102,82232947
"pl","global",966,778042542
"ro","at",2621,66480910
"th","ie",262,373758083
